"","mission.corp6"
"814897907 2017","helping youth express    creative process  writing animating drawing   outlets"
"814902595 2017"," provide support  resources  individuals  families  need   demonstrated  never give  attitude  facing adversity"
"814919858 2017","enrich  lives  children  providing hope happiness   opportunity  excel  inspire   power   smile  enhance childrens future  community outreach programs mentorship education  volunteering"
"814924918 2017"," provide charitable relief food  clothing  support   needy orphaned children  mental  physical disabilities  underprivileged people according  jewish doctrine   united_states  israel  act   outreach organization  promote  principles   jewish religion  judaism  seminars meetings  weekend  holiday retreats promoting  sabbath  jewish holidays"
"814945849 2017","improve racial  gender equity  policing within law enforcement agencies"
"814954470 2017","empower nonprofits  create compelling awareness  call-to-action advertising campaigns   causes mostly  fully underwritten  advance     providing  collaboration platform  nonprofits  ad agencies create ad campaigns  integrated tax-deductible crowdfunding  donors wishing  support  nonprofit's message"
"814958806 2017","helping  community including elderly  children  nutritional food service programs.group home  lost children incarcerated young people 18-35 year old transitioning underserved youth    incarcerated back  society"
"814976186 2017","provide charitable benevolent educational  civic purposes      develop  promote  equestrian sport  working equitation   united_states"
"814999224 2017"," foster national amateur sports competition"
"815020070 2016","youth  talents  organized exclusively  charitable educational  scientific purposes"
"815059835 2016"," organization's mission   help  local community  worldwide programs"
"815070384 2017","youth baseball program"
"815104710 2017"," mission  greenhouses  everyone   address  food  nutrient desert problem  access  fresh local healthy food  transforming community centers  hydroponic aquaponic  greenhouse-driven micro farms"
"815104966 2017"," help  risk youth  low income famlies  immedeate needs"
"815106159 2017"," hope starts  food bank's mission   feed families  need   southeast denver metro area   offer  resources   path towards wholeness  offer hope  employment opportunities legal  medical assistance  referrals   community resources"
"815137046 2017","provide healthcare  low-income families"
"815147316 2017"," mission  conservatory youth theatre  collin county   provide affordable resources  expose  children  teens   world  performing arts cytc provides  educational  conservatory based approach  help  build foundations  numerous fine art skills"
"815155527 2017","serve church  community"
"815168645 2017"," provide  event co-production platform  emplowering charities  schools   ability  co-produce  consoldated running event benefiting multiple partner organizations"
